"indic_de","unit","geo","time","values"
"PC_Y65_69","PC","BE33",2017,5.6
"PC_Y70_74","PC","BE33",2017,4
"PC_Y75_79","PC","BE33",2017,3.3
"PC_Y80_84","PC","BE33",2017,2.7
"PC_Y85_MAX","PC","BE33",2017,2.6
"PC_Y60_64","PC","BE33",2018,6.3
"PC_Y65_69","PC","BE33",2018,5.6
"PC_Y70_74","PC","BE33",2018,4.3
"PC_Y75_79","PC","BE33",2018,3.2
"PC_Y80_84","PC","BE33",2018,2.6
"PC_Y85_MAX","PC","BE33",2018,2.7
"PC_Y60_64","PC","BE34",2017,5.7
"PC_Y65_69","PC","BE34",2017,5.1
"PC_Y70_74","PC","BE34",2017,3.5
"PC_Y75_79","PC","BE34",2017,2.9
"PC_Y80_84","PC","BE34",2017,2.5
"PC_Y85_MAX","PC","BE34",2017,2.5
"PC_Y60_64","PC","BE34",2018,5.8
"PC_Y65_69","PC","BE34",2018,5.1
"PC_Y70_74","PC","BE34",2018,3.8
"PC_Y75_79","PC","BE34",2018,2.7
"PC_Y80_84","PC","BE34",2018,2.5
"PC_Y85_MAX","PC","BE34",2018,2.6
"PC_Y60_64","PC","BE35",2017,6.2
"PC_Y65_69","PC","BE35",2017,5.8
"PC_Y70_74","PC","BE35",2017,3.9
"PC_Y75_79","PC","BE35",2017,3.1
"PC_Y80_84","PC","BE35",2017,2.5
"PC_Y85_MAX","PC","BE35",2017,2.5
"PC_Y60_64","PC","BE35",2018,6.3
"PC_Y65_69","PC","BE35",2018,5.8
"PC_Y70_74","PC","BE35",2018,4.3
"PC_Y75_79","PC","BE35",2018,3
"PC_Y80_84","PC","BE35",2018,2.5
"PC_Y85_MAX","PC","BE35",2018,2.6
"PC_Y60_64","PC","BG",2017,6.9
"PC_Y65_69","PC","BG",2017,6.8
"PC_Y70_74","PC","BG",2017,5.3
"PC_Y75_79","PC","BG",2017,3.9
"PC_Y80_84","PC","BG",2017,2.9
"PC_Y85_MAX","PC","BG",2017,1.8
"PC_Y60_64","PC","BG",2018,6.9
"PC_Y65_69","PC","BG",2018,6.8
"PC_Y70_74","PC","BG",2018,5.5
"PC_Y75_79","PC","BG",2018,3.9
"PC_Y80_84","PC","BG",2018,2.9
"PC_Y85_MAX","PC","BG",2018,1.9
"PC_Y60_64","PC","BG3",2017,7.2
"PC_Y65_69","PC","BG3",2017,7.3
"PC_Y70_74","PC","BG3",2017,5.7
"PC_Y75_79","PC","BG3",2017,4.1
"PC_Y80_84","PC","BG3",2017,3
"PC_Y85_MAX","PC","BG3",2017,1.8
"PC_Y60_64","PC","BG3",2018,7.1
"PC_Y65_69","PC","BG3",2018,7.2
"PC_Y70_74","PC","BG3",2018,5.9
"PC_Y75_79","PC","BG3",2018,4.1
"PC_Y80_84","PC","BG3",2018,3
"PC_Y85_MAX","PC","BG3",2018,1.9
"PC_Y60_64","PC","BG31",2017,7.5
"PC_Y65_69","PC","BG31",2017,8.2
"PC_Y70_74","PC","BG31",2017,6.7
"PC_Y75_79","PC","BG31",2017,4.7
"PC_Y80_84","PC","BG31",2017,3.7
"PC_Y85_MAX","PC","BG31",2017,2.3
