"indic_de","unit","geo","time","values"
"OLDDEP1","PC","BE21",2017,29.4
"OLDDEP2","PC","BE21",2017,47.3
"PC_FM","PC","BE21",2017,101.6
"PC_Y60_MAX","PC","BE21",2017,25
"PC_Y65_MAX","PC","BE21",2017,18.9
"OLDDEP1","PC","BE21",2018,29.8
"OLDDEP2","PC","BE21",2018,48.1
"PC_FM","PC","BE21",2018,101.5
"PC_Y60_MAX","PC","BE21",2018,25.3
"PC_Y65_MAX","PC","BE21",2018,19.1
"OLDDEP1","PC","BE22",2017,29.5
"OLDDEP2","PC","BE22",2017,48.8
"PC_FM","PC","BE22",2017,100.5
"PC_Y60_MAX","PC","BE22",2017,26
"PC_Y65_MAX","PC","BE22",2017,19.2
"OLDDEP1","PC","BE22",2018,30.4
"OLDDEP2","PC","BE22",2018,50.4
"PC_FM","PC","BE22",2018,100.5
"PC_Y60_MAX","PC","BE22",2018,26.6
"PC_Y65_MAX","PC","BE22",2018,19.7
"OLDDEP1","PC","BE23",2017,30.1
"OLDDEP2","PC","BE23",2017,47.9
"PC_FM","PC","BE23",2017,102.5
"PC_Y60_MAX","PC","BE23",2017,25.4
"PC_Y65_MAX","PC","BE23",2017,19.4
"OLDDEP1","PC","BE23",2018,30.5
"OLDDEP2","PC","BE23",2018,48.6
"PC_FM","PC","BE23",2018,102.5
"PC_Y60_MAX","PC","BE23",2018,25.7
"PC_Y65_MAX","PC","BE23",2018,19.6
"OLDDEP1","PC","BE24",2017,29.6
"OLDDEP2","PC","BE24",2017,47.9
"PC_FM","PC","BE24",2017,104
"PC_Y60_MAX","PC","BE24",2017,25
"PC_Y65_MAX","PC","BE24",2017,18.9
"OLDDEP1","PC","BE24",2018,29.9
"OLDDEP2","PC","BE24",2018,48.7
"PC_FM","PC","BE24",2018,103.9
"PC_Y60_MAX","PC","BE24",2018,25.3
"PC_Y65_MAX","PC","BE24",2018,19.1
"OLDDEP1","PC","BE25",2017,36.3
"OLDDEP2","PC","BE25",2017,57.8
"PC_FM","PC","BE25",2017,101.8
"PC_Y60_MAX","PC","BE25",2017,29.3
"PC_Y65_MAX","PC","BE25",2017,22.6
"OLDDEP1","PC","BE25",2018,36.9
"OLDDEP2","PC","BE25",2018,58.9
"PC_FM","PC","BE25",2018,101.8
"PC_Y60_MAX","PC","BE25",2018,29.6
"PC_Y65_MAX","PC","BE25",2018,22.9
"OLDDEP1","PC","BE3",2017,27.8
"OLDDEP2","PC","BE3",2017,46
"PC_FM","PC","BE3",2017,104.5
"PC_Y60_MAX","PC","BE3",2017,24.2
"PC_Y65_MAX","PC","BE3",2017,18
"OLDDEP1","PC","BE3",2018,28.3
"OLDDEP2","PC","BE3",2018,46.8
"PC_FM","PC","BE3",2018,104.5
"PC_Y60_MAX","PC","BE3",2018,24.5
"PC_Y65_MAX","PC","BE3",2018,18.2
"OLDDEP1","PC","BE31",2017,28.4
"OLDDEP2","PC","BE31",2017,46.9
"PC_FM","PC","BE31",2017,106.1
"PC_Y60_MAX","PC","BE31",2017,24.4
"PC_Y65_MAX","PC","BE31",2017,18.3
"OLDDEP1","PC","BE31",2018,29
"OLDDEP2","PC","BE31",2018,47.9
"PC_FM","PC","BE31",2018,106.2
"PC_Y60_MAX","PC","BE31",2018,24.8
"PC_Y65_MAX","PC","BE31",2018,18.6
"OLDDEP1","PC","BE32",2017,28
"OLDDEP2","PC","BE32",2017,46.6
"PC_FM","PC","BE32",2017,105.7
"PC_Y60_MAX","PC","BE32",2017,24.3
"PC_Y65_MAX","PC","BE32",2017,18.1
"OLDDEP1","PC","BE32",2018,28.4
"OLDDEP2","PC","BE32",2018,47.3
"PC_FM","PC","BE32",2018,105.5
"PC_Y60_MAX","PC","BE32",2018,24.6
"PC_Y65_MAX","PC","BE32",2018,18.3
"OLDDEP1","PC","BE33",2017,28.1
"OLDDEP2","PC","BE33",2017,46.3
"PC_FM","PC","BE33",2017,104.1
"PC_Y60_MAX","PC","BE33",2017,24.4
"PC_Y65_MAX","PC","BE33",2017,18.2
"OLDDEP1","PC","BE33",2018,28.6
"OLDDEP2","PC","BE33",2018,47.1
"PC_FM","PC","BE33",2018,104.1
"PC_Y60_MAX","PC","BE33",2018,24.7
"PC_Y65_MAX","PC","BE33",2018,18.4
"OLDDEP1","PC","BE34",2017,25.1
"OLDDEP2","PC","BE34",2017,41.7
"PC_FM","PC","BE34",2017,100.2
"PC_Y60_MAX","PC","BE34",2017,22.1
"PC_Y65_MAX","PC","BE34",2017,16.4
"OLDDEP1","PC","BE34",2018,25.6
"OLDDEP2","PC","BE34",2018,42.6
"PC_FM","PC","BE34",2018,100.5
"PC_Y60_MAX","PC","BE34",2018,22.5
"PC_Y65_MAX","PC","BE34",2018,16.7
"OLDDEP1","PC","BE35",2017,27.4
"OLDDEP2","PC","BE35",2017,45.7
"PC_FM","PC","BE35",2017,103.7
"PC_Y60_MAX","PC","BE35",2017,24.1
"PC_Y65_MAX","PC","BE35",2017,17.8
"OLDDEP1","PC","BE35",2018,28
"OLDDEP2","PC","BE35",2018,46.6
"PC_FM","PC","BE35",2018,103.6
"PC_Y60_MAX","PC","BE35",2018,24.5
"PC_Y65_MAX","PC","BE35",2018,18.2
"OLDDEP1","PC","BG",2017,31.8
"OLDDEP2","PC","BG",2017,51.4
"PC_FM","PC","BG",2017,105.9
"PC_Y60_MAX","PC","BG",2017,27.7
"PC_Y65_MAX","PC","BG",2017,20.7
"OLDDEP1","PC","BG",2018,32.5
