unit,direct,na_item,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PPS_HAB,BAL,B5N,ES52	15200 	15200 	14800 	13500 	13100 	13100 	12600 	12700 	13300 	14200 	14100 p	: 
PPS_HAB,BAL,B5N,ES53	18700 	18500 	17800 	16300 	15700 	15800 	15400 	15500 	16300 	17500 	17800 p	: 
PPS_HAB,BAL,B5N,ES61	12800 	13000 	12600 	11700 	11400 	11300 	10900 	10900 	11300 	12100 	12000 p	: 
PPS_HAB,BAL,B5N,ES62	13600 	13900 	13700 	12500 	12300 	12100 	11700 	11900 	12200 	13100 	13000 p	: 
PPS_HAB,BAL,B5N,ES63	15400 	15200 	15000 	14100 	13600 	13400 	12700 	13200 	13500 	14200 	13900 p	: 
PPS_HAB,BAL,B5N,ES64	15000 	14600 	14000 	13100 	12500 	12300 	11600 	11800 	12200 	12900 	12700 p	: 
PPS_HAB,BAL,B5N,ES70	14900 	14900 	14300 	13100 	12900 	12900 	12400 	12500 	12900 	13700 	13800 p	: 
PPS_HAB,BAL,B5N,FI19	14800 	16400 	16900 	15900 	16300 	17000 	17300 	17400 	17400 	18000 	17900 	: 
PPS_HAB,BAL,B5N,FI1B	20300 	22000 	22700 	22000 	22400 	23100 	23400 	23000 	23300 	24300 	24100 	: 
PPS_HAB,BAL,B5N,FI1C	15200 	16600 	17000 	16100 	16500 	17000 	17400 	17400 	17500 	18100 	18000 	: 
PPS_HAB,BAL,B5N,FI1D	13500 	14900 	15200 	14300 	14900 	15600 	15800 	16000 	16200 	16700 	16600 	: 
PPS_HAB,BAL,B5N,FI20	18200 	20000 	22000 	21500 	21800 	22600 	22500 	22700 	22700 	24100 	23500 	: 
PPS_HAB,BAL,B5N,FR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	28900 	28400 p	: 
PPS_HAB,BAL,B5N,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	19500 	19300 p	: 
PPS_HAB,BAL,B5N,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	18700 	18600 p	: 
PPS_HAB,BAL,B5N,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	19100 	18900 p	: 
PPS_HAB,BAL,B5N,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	18000 	17900 p	: 
PPS_HAB,BAL,B5N,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	19300 	19100 p	: 
PPS_HAB,BAL,B5N,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	17400 	17200 p	: 
PPS_HAB,BAL,B5N,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	18800 	18600 p	: 
PPS_HAB,BAL,B5N,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	21400 	20900 p	: 
PPS_HAB,BAL,B5N,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	18300 	18100 p	: 
PPS_HAB,BAL,B5N,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	19000 	18900 p	: 
PPS_HAB,BAL,B5N,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	19100 	18800 p	: 
PPS_HAB,BAL,B5N,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	18600 	18500 p	: 
PPS_HAB,BAL,B5N,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	19300 	18900 p	: 
PPS_HAB,BAL,B5N,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	17500 	17400 p	: 
PPS_HAB,BAL,B5N,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	18000 	17900 p	: 
PPS_HAB,BAL,B5N,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	17000 	16600 p	: 
PPS_HAB,BAL,B5N,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	19700 	19300 p	: 
PPS_HAB,BAL,B5N,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	18600 	18500 p	: 
PPS_HAB,BAL,B5N,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	21600 	21100 p	: 
PPS_HAB,BAL,B5N,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	20100 	19800 p	: 
PPS_HAB,BAL,B5N,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	18100 	17800 p	: 
PPS_HAB,BAL,B5N,FRY1	: 	: 	: 	: 	: 	: 	: 	: 	: 	15900 	15900 p	: 
PPS_HAB,BAL,B5N,FRY2	: 	: 	: 	: 	: 	: 	: 	: 	: 	17300 	17100 p	: 
PPS_HAB,BAL,B5N,FRY3	: 	: 	: 	: 	: 	: 	: 	: 	: 	11200 	11100 p	: 
PPS_HAB,BAL,B5N,FRY4	: 	: 	: 	: 	: 	: 	: 	: 	: 	15600 	15600 p	: 
PPS_HAB,BAL,B5N,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	: 	6600 	6700 p	: 
PPS_HAB,BAL,B5N,HR03	7400 	8100 	8600 	8700 	8300 	8100 	8300 	8400 	8800 	9400 	10000 	: 
PPS_HAB,BAL,B5N,HR04	7700 	8600 	9200 	9100 	8700 	8900 	9100 	9000 	9200 	9800 	10400 	: 
PPS_HAB,BAL,B5N,HU11	14700 	14600 	13100 	12800 	12200 	15400 	13800 	14800 	15100 	16300 	16300 	: 
PPS_HAB,BAL,B5N,HU12	13500 	12700 	10700 	9300 	9500 	10300 	10600 	10700 	11100 	12000 	11700 	: 
PPS_HAB,BAL,B5N,HU21	9300 	9400 	9900 	9200 	9400 	9600 	10300 	10700 	11200 	11300 	11700 	: 
PPS_HAB,BAL,B5N,HU22	8900 	9000 	9800 	9100 	9400 	9500 	10200 	10600 	11400 	11300 	11500 	: 
PPS_HAB,BAL,B5N,HU23	7300 	7400 	8500 	8000 	8100 	7800 	8500 	8800 	9200 	9300 	9700 	: 
PPS_HAB,BAL,B5N,HU31	6700 	6800 	7700 	7600 	7600 	7300 	8000 	7900 	8500 	8600 	9000 	: 
PPS_HAB,BAL,B5N,HU32	6500 	6600 	7600 	7300 	7500 	7200 	8000 	8400 	8900 	8900 	9300 	: 
PPS_HAB,BAL,B5N,HU33	7000 	7200 	8100 	7500 	7800 	7600 	8500 	8900 	9400 	9600 	10000 	: 
PPS_HAB,BAL,B5N,IE04	14100 	14800 	14500 	13700 	13700 	12600 	13400 	13100 	13300 	14400 	14600 	: 
PPS_HAB,BAL,B5N,IE05	16500 	17400 	16500 	15000 	15100 	14700 	15200 	15200 	15400 	16600 	16800 	: 
PPS_HAB,BAL,B5N,IE06	19600 	20800 	20100 	18200 	18200 	17700 	18400 	18100 	18400 	19500 	19700 	: 
PPS_HAB,BAL,B5N,ITC1	21900 	22600 	22700 	20700 	21200 	21200 	20700 	20300 	20300 	21200 	21500 	21900 
PPS_HAB,BAL,B5N,ITC2	21600 	22300 	22600 	21300 	21800 	21600 	21200 	20500 	20300 	20500 	20500 	20700 
PPS_HAB,BAL,B5N,ITC3	20700 	21900 	22100 	20600 	20500 	20600 	20200 	19700 	19700 	20600 	20800 	21100 
PPS_HAB,BAL,B5N,ITC4	24700 	25700 	26100 	24200 	24600 	24700 	24100 	23700 	23600 	24800 	25000 	25300 
PPS_HAB,BAL,B5N,ITF1	16000 	16800 	17100 	15900 	16000 	16400 	15900 	15500 	15200 	15800 	15800 	16000 
PPS_HAB,BAL,B5N,ITF2	14800 	15500 	15600 	14500 	14500 	14600 	14100 	13600 	13300 	13800 	14000 	14100 
PPS_HAB,BAL,B5N,ITF3	13100 	13700 	13700 	12800 	12900 	12700 	12300 	11900 	11800 	12400 	12500 	12700 
PPS_HAB,BAL,B5N,ITF4	12900 	13400 	13400 	12500 	12700 	12900 	12700 	12300 	12200 	12800 	13000 	13100 
PPS_HAB,BAL,B5N,ITF5	13200 	13800 	13800 	12800 	12700 	12700 	12300 	12000 	12000 	13000 	13100 	13000 
PPS_HAB,BAL,B5N,ITF6	12000 	12500 	12600 	12000 	11800 	11800 	11400 	11100 	10900 	11400 	11500 	11700 
PPS_HAB,BAL,B5N,ITG1	12700 	13100 	13300 	12700 	12700 	12500 	12200 	11800 	11600 	12100 	12200 	12300 
PPS_HAB,BAL,B5N,ITG2	13900 	14400 	14700 	13900 	14000 	13800 	13600 	13700 	13500 	13800 	13900 	14000 
PPS_HAB,BAL,B5N,ITH1	24500 	25600 	26200 	25000 	25600 	25700 	25600 	25200 	24900 	26100 	26800 	26800 
PPS_HAB,BAL,B5N,ITH2	22000 	23100 	23600 	22300 	22700 	22700 	22000 	21800 	21200 	21800 	21900 	22200 
PPS_HAB,BAL,B5N,ITH3	21100 	22000 	22200 	20700 	21100 	21300 	20700 	20300 	20300 	21300 	21700 	22000 
PPS_HAB,BAL,B5N,ITH4	21000 	22100 	22100 	20500 	21000 	21000 	20300 	20100 	19800 	20700 	21100 	21300 
PPS_HAB,BAL,B5N,ITH5	23800 	25000 	24900 	22900 	22900 	23100 	22600 	22400 	22400 	23300 	23600 	23900 
PPS_HAB,BAL,B5N,ITI1	20300 	21200 	21300 	19900 	20000 	19900 	19400 	19100 	19100 	19800 	20300 	20500 
PPS_HAB,BAL,B5N,ITI2	18600 	19300 	19500 	18100 	18400 	18500 	17800 	17400 	17100 	17700 	17800 	17900 
PPS_HAB,BAL,B5N,ITI3	18600 	19300 	19600 	18300 	18700 	18600 	18100 	17800 	17800 	18400 	18800 	18900 
PPS_HAB,BAL,B5N,ITI4	21100 	22100 	22200 	21000 	21400 	21100 	19900 	19200 	19000 	19800 	20100 	20300 
PPS_HAB,BAL,B5N,LT01	: 	: 	: 	: 	10900 	11800 	12700 	14000 	14800 	16600 	18000 	: 
PPS_HAB,BAL,B5N,LT02	: 	: 	: 	: 	8600 	9400 	10200 	10600 	11100 	12000 	12200 	: 
PPS_HAB,BAL,B5N,LU00	26700 	27300 	27600 	26600 	26700 	27200 	28000 	28100 	29200 	30300 	29400 	29900 
PPS_HAB,BAL,B5N,LV00	7200 	8700 	9100 	7300 	7300 	7400 	8100 	8800 	9300 	10200 	10500 	: 
PPS_HAB,BAL,B5N,NL11	: 	: 	: 	: 	: 	: 	: 	: 	: 	20000 	19700 p	: 
PPS_HAB,BAL,B5N,NL12	: 	: 	: 	: 	: 	: 	: 	: 	: 	20200 	19600 p	: 
PPS_HAB,BAL,B5N,NL13	: 	: 	: 	: 	: 	: 	: 	: 	: 	21000 	20500 p	: 
PPS_HAB,BAL,B5N,NL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	21100 	20600 p	: 
PPS_HAB,BAL,B5N,NL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	22300 	21800 p	: 
PPS_HAB,BAL,B5N,NL23	: 	: 	: 	: 	: 	: 	: 	: 	: 	22600 	22200 p	: 
PPS_HAB,BAL,B5N,NL31	: 	: 	: 	: 	: 	: 	: 	: 	: 	26000 	26100 p	: 
PPS_HAB,BAL,B5N,NL32	: 	: 	: 	: 	: 	: 	: 	: 	: 	25600 	25600 p	: 
PPS_HAB,BAL,B5N,NL33	: 	: 	: 	: 	: 	: 	: 	: 	: 	23900 	23500 p	: 
PPS_HAB,BAL,B5N,NL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	22100 	21500 p	: 
PPS_HAB,BAL,B5N,NL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	23300 	23000 p	: 
PPS_HAB,BAL,B5N,NL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	21000 	20700 p	: 
PPS_HAB,BAL,B5N,NO01	: 	: 	: 	: 	: 	: 	: 	29900 	31000 	32000 	29900 	: 
PPS_HAB,BAL,B5N,NO02	: 	: 	: 	: 	: 	: 	: 	19900 	20400 	20600 	19600 	: 
PPS_HAB,BAL,B5N,NO03	: 	: 	: 	: 	: 	: 	: 	21600 	21900 	22300 	20900 	: 
PPS_HAB,BAL,B5N,NO04	: 	: 	: 	: 	: 	: 	: 	26700 	27500 	27000 	24200 	: 
PPS_HAB,BAL,B5N,NO05	: 	: 	: 	: 	: 	: 	: 	24200 	25000 	25000 	22900 	: 
PPS_HAB,BAL,B5N,NO06	: 	: 	: 	: 	: 	: 	: 	22700 	23000 	23200 	22100 	: 
