unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,ESZZ	10.9 	-2.1 	2.3 	1 	4 	31.7 	-19.5 	2.9 	-4.3 	2 	-8.1 p	1.6 p
PCH_PRE,FI19	3.3 	7.2 	0.6 	-9.9 	2.7 	3.5 	-1.9 	-3.3 	-1 	-0.4 	1.2 	3.4 
PCH_PRE,FI1B	4.9 	7.2 	2.4 	-6.7 	3.7 	-0.2 	-3 	1.4 	-0.7 	1.9 	2 	2.3 
PCH_PRE,FI1C	2.6 	4.9 	-0.1 	-10.8 	0.7 	4.5 	-1.1 	-2.7 	-0.3 	-1.3 	2.2 	4.7 
PCH_PRE,FI1D	3.8 	3.2 	-0.7 	-10.2 	4.5 	2 	-0.9 	-0.7 	-0.3 	-1.3 	4 	2.4 
PCH_PRE,FI20	0.9 	-0.5 	-6 	6.8 	-0.1 	1.2 	5.9 	1.6 	-4 	0.1 	-1.8 	0.4 
PCH_PRE,FIZZ	13 	1 	-9.3 	-2.2 	3.6 	11.5 	-9.2 	-26.1 	-1.4 	-8.5 	-3.8 	0.4 
PCH_PRE,FR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	1.6 p	2.9 p
PCH_PRE,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3 	0.2 p	0.6 p
PCH_PRE,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.7 	-1.2 p	-0.4 p
PCH_PRE,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	0.3 p	2 p
PCH_PRE,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	0.3 p	0.6 p
PCH_PRE,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	-0.1 p	0.7 p
PCH_PRE,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0.6 p	0.7 p
PCH_PRE,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6 	-1.8 p	-0.7 p
PCH_PRE,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.2 	1.5 p	2.8 p
PCH_PRE,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.7 	-1.4 p	-0.2 p
PCH_PRE,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.7 	-0.9 p	-0.3 p
