"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","F","BE35",2017,450.4
"TOTAL","INPAT","P_HTHAB","M","F","BG",2017,628.2
"TOTAL","INPAT","P_HTHAB","M","F","BG31",2017,916.4
"TOTAL","INPAT","P_HTHAB","M","F","BG32",2017,839.7
"TOTAL","INPAT","P_HTHAB","M","F","BG33",2017,1060.7
"TOTAL","INPAT","P_HTHAB","M","F","BG34",2017,574.6
"TOTAL","INPAT","P_HTHAB","M","F","BG41",2017,360.3
"TOTAL","INPAT","P_HTHAB","M","F","BG42",2017,501.6
"TOTAL","INPAT","P_HTHAB","M","F","CH",2017,1214.2
"TOTAL","INPAT","P_HTHAB","M","F","CY",2017,107.4
"TOTAL","INPAT","P_HTHAB","M","F","CZ",2017,704
"TOTAL","INPAT","P_HTHAB","M","F","CZ01",2017,939.5
"TOTAL","INPAT","P_HTHAB","M","F","CZ02",2017,336.6
"TOTAL","INPAT","P_HTHAB","M","F","CZ03",2017,702.4
"TOTAL","INPAT","P_HTHAB","M","F","CZ04",2017,769
"TOTAL","INPAT","P_HTHAB","M","F","CZ05",2017,353.8
"TOTAL","INPAT","P_HTHAB","M","F","CZ06",2017,792.4
"TOTAL","INPAT","P_HTHAB","M","F","CZ07",2017,956.6
"TOTAL","INPAT","P_HTHAB","M","F","CZ08",2017,870.1
"TOTAL","INPAT","P_HTHAB","M","F","DE",2017,1687.9
"TOTAL","INPAT","P_HTHAB","M","F","DE1",2017,1528.6
"TOTAL","INPAT","P_HTHAB","M","F","DE2",2017,1578
"TOTAL","INPAT","P_HTHAB","M","F","DE30",2017,1459.2
"TOTAL","INPAT","P_HTHAB","M","F","DE40",2017,1906.8
"TOTAL","INPAT","P_HTHAB","M","F","DE50",2017,1864.2
"TOTAL","INPAT","P_HTHAB","M","F","DE60",2017,1608.3
"TOTAL","INPAT","P_HTHAB","M","F","DE7",2017,1736.9
"TOTAL","INPAT","P_HTHAB","M","F","DE80",2017,2437.3
"TOTAL","INPAT","P_HTHAB","M","F","DE9",2017,1611.6
"TOTAL","INPAT","P_HTHAB","M","F","DEA",2017,1735.1
"TOTAL","INPAT","P_HTHAB","M","F","DEB",2017,1827.3
"TOTAL","INPAT","P_HTHAB","M","F","DEC0",2017,2166.8
"TOTAL","INPAT","P_HTHAB","M","F","DED",2017,1579.6
"TOTAL","INPAT","P_HTHAB","M","F","DEE0",2017,1724.6
"TOTAL","INPAT","P_HTHAB","M","F","DEF0",2017,1889.4
"TOTAL","INPAT","P_HTHAB","M","F","DEG0",2017,1912.1
"TOTAL","INPAT","P_HTHAB","M","F","EE",2017,1076
"TOTAL","INPAT","P_HTHAB","M","F","ES",2017,275.6
"TOTAL","INPAT","P_HTHAB","M","F","ES1",2017,222.5
"TOTAL","INPAT","P_HTHAB","M","F","ES11",2017,201.5
"TOTAL","INPAT","P_HTHAB","M","F","ES12",2017,299.6
"TOTAL","INPAT","P_HTHAB","M","F","ES13",2017,185.7
"TOTAL","INPAT","P_HTHAB","M","F","ES2",2017,328.2
"TOTAL","INPAT","P_HTHAB","M","F","ES21",2017,384.9
"TOTAL","INPAT","P_HTHAB","M","F","ES22",2017,281.8
"TOTAL","INPAT","P_HTHAB","M","F","ES23",2017,265.6
"TOTAL","INPAT","P_HTHAB","M","F","ES24",2017,274
"TOTAL","INPAT","P_HTHAB","M","F","ES30",2017,290.2
"TOTAL","INPAT","P_HTHAB","M","F","ES4",2017,264
"TOTAL","INPAT","P_HTHAB","M","F","ES41",2017,281.3
